"APPROVED_WELL_TESTS";"DATA";"EC_PROD";"EVENT";"WELL";"TABLE";"PWEL_RESULT";"";"EC_PTST_RESULT.STATUS(RESULT_NO)='ACCEPTED' AND PWEL_RESULT.PRIMARY_IND='Y'";
"AREA";"OBJECT";"EC_PROD";"VERSIONED";"";"TABLE";"GEOGRAPHICAL_AREA";"GEOGR_AREA_VERSION";"CLASS_NAME='AREA'";
"AREA_CODE";"TABLE";"EC_PROD";"";"";"TABLE";"AREA_CODE";"";"";
"ASSET_CALC_ATTRIBUTE";"TABLE";"EC_PROD";"EVENT";"";"TABLE";"ASSET_CALC_ATTRIBUTE";"";"";
"ASSET_OBJECTS";"TABLE";"EC_PROD";"";"";"VIEW";"V_DEFERMENT_CALC_ASSET_ID";"";"";
"AUDIT_LOGIN";"TABLE";"EC_FRMW";"";"";"TABLE";"AUDIT_LOGIN";"";"";
"BALANCE";"OBJECT";"EC_REVN";"VERSIONED";"";"TABLE";"BALANCE";"BALANCE_VERSION";"";
"BALANCE_GROUP_DATA";"TABLE";"EC_PROD";"";"";"VIEW";"V_BALANCE_GROUP_DATA";"";"";
"BALANCE_GROUP_TOTAL";"TABLE";"EC_PROD";"";"";"VIEW";"V_BALANCE_GROUP_TOTAL";"";"";
"BALANCE_SETUP";"DATA";"EC_REVN";"";"BALANCE";"TABLE";"BALANCE_SETUP";"";"";
"BALANCE_SUB_GROUP";"TABLE";"EC_PROD";"";"";"VIEW";"V_BALANCE_SUB_GROUP";"";"";
"BALANCING_ADJ_MTH";"DATA";"EC_PROD";"EVENT";"FACILITY";"TABLE";"BALANCING_ADJ_MTH";"";"";
"BANK";"OBJECT";"EC_REVN";"VERSIONED";"";"TABLE";"BANK";"BANK_VERSION";"";
"BANK_ACCOUNT";"OBJECT";"EC_REVN";"VERSIONED";"";"TABLE";"BANK_ACCOUNT";"BANK_ACCOUNT_VERSION";"";
"BEARER";"DATA";"EC_REVN";"EVENT";"CONTRACT";"TABLE";"SUB_CNTR_PARTY_SHARE";"";"CLASS_NAME = 'BEARER'";
"BERTH";"OBJECT";"EC_TRAN";"";"";"TABLE";"BERTH";"BERTH_VERSION";"";
"BF_COMPONENT";"TABLE";"EC_FRMW";"NONE";"";"TABLE";"BF_COMPONENT";"";"";
"BF_COMPONENT_ACTION";"TABLE";"EC_FRMW";"NONE";"";"TABLE";"BF_COMPONENT_ACTION";"";"";
"BF_PROFILE";"TABLE";"EC_FRMW";"";"";"TABLE";"BF_PROFILE";"";"";
"BF_PROFILE_SETUP";"TABLE";"EC_FRMW";"";"";"TABLE";"BF_PROFILE_SETUP";"";"";
"BLEND";"OBJECT";"EC_PROD";"VERSIONED";"";"TABLE";"BLEND";"BLEND_VERSION";"";
"BLEND_CONTENT";"DATA";"EC_PROD";"EVENT";"BLEND";"TABLE";"BLEND_CONTENT";"";"";
"BPM_EC_GCOMMAND";"TABLE";"EC_BPM";"";"";"TABLE";"BPM_EC_GCOMMAND";"";"";
"BPM_EC_GCOMMAND_ATT";"TABLE";"EC_BPM";"";"";"TABLE";"BPM_EC_GCOMMAND_ATT";"";"";
"BPM_EC_GCOMMAND_HANDLER";"DATA";"EC_BPM";"";"";"TABLE";"BPM_EC_GCOMMAND_HANDLER";"";"";
