"OPERATIONAL_LOCATIONS";"DELIVERY_POINT";"IMPLEMENTS";"EC_TRAN";
"OPERATIONAL_LOCATIONS";"DELIVERY_STREAM";"IMPLEMENTS";"EC_TRAN";
"OPERATIONAL_LOCATIONS";"PIPELINE";"IMPLEMENTS";"EC_PROD";
"OPERATIONAL_LOCATIONS";"PIPELINE_SEGMENT";"IMPLEMENTS";"EC_TRAN";
"OPERATIONAL_RESTRICTION";"BERTH";"IMPLEMENTS";"EC_TRAN";
"OPERATIONAL_RESTRICTION";"DELIVERY_POINT";"IMPLEMENTS";"EC_TRAN";
"OPERATIONAL_RESTRICTION";"DELIVERY_STREAM";"IMPLEMENTS";"EC_TRAN";
"OPERATIONAL_RESTRICTION";"PIPELINE";"IMPLEMENTS";"EC_PROD";
"OPERATIONAL_RESTRICTION";"PIPELINE_SEGMENT";"IMPLEMENTS";"EC_TRAN";
"PROFIT_CENTRE";"FIELD";"IMPLEMENTS";"EC_PROD";
"PROPERTY";"CONTRACT_AREA";"IMPLEMENTS";"EC_TRAN";
"ROYALTY_OWNERS";"ROYALTY_OWNER";"IMPLEMENTS";"EC_REVN";
"SEPARATOR";"PRODSEPARATOR";"IMPLEMENTS";"EC_PROD";
"SEPARATOR";"TESTSEPARATOR";"IMPLEMENTS";"EC_PROD";
"SND_VISUAL_NODE";"ALLOC_NODE";"IMPLEMENTS";"EC_PROD";
"SND_VISUAL_NODE";"SND_WELL_GROUP";"IMPLEMENTS";"EC_PROD";
"SUPPLY_POINT";"STREAM";"IMPLEMENTS";"EC_PROD";
"SUPPLY_POINT";"WELL";"IMPLEMENTS";"EC_PROD";
"TRANS_PARAM_SOURCE";"CONTRACT";"IMPLEMENTS";"EC_TRAN";
"TRANS_PARAM_SOURCE";"FIN_COST_OBJECT";"IMPLEMENTS";"EC_REVN";
"TRANS_PARAM_SOURCE";"PRICE_INDEX";"IMPLEMENTS";"EC_SALE";
"TRANS_PARAM_SOURCE";"PRODUCT";"IMPLEMENTS";"EC_PROD";
"TRANS_PARAM_SOURCE";"STREAM";"IMPLEMENTS";"EC_PROD";
"TRANS_PARAM_SOURCE";"TRANS_INVENTORY";"IMPLEMENTS";"EC_REVN";
"TRANS_PARAM_SOURCE";"TRANS_PRODUCT";"IMPLEMENTS";"EC_PROD";
"TRANS_PRODUCT";"FIN_COST_OBJECT";"IMPLEMENTS";"EC_REVN";
"TRANS_PRODUCT";"PRODUCT";"IMPLEMENTS";"EC_PROD";
