"BUSINESS_UNIT";"DELIVERY_POINT";"BUSINESS_UNIT";"EC_TRAN";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"DELIVERY_STREAM";"BUSINESS_UNIT";"EC_TRAN";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"INTERFACE_CONTENT";"BUSINESS_UNIT";"EC_REVN";"N";"N";"";"1:N";"COLUMN";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"INVENTORY_AREA";"BUSINESS_UNIT";"EC_REVN";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"NOMINATION_LOCATION";"BUSINESS_UNIT";"EC_TRAN";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"OPERATIONAL_RESTRICTION";"BUSINESS_UNIT";"EC_TRAN";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"PIPELINE";"BUSINESS_UNIT";"EC_TRAN";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"PIPELINE_SEGMENT";"BUSINESS_UNIT";"EC_TRAN";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"PRICE_INDEX";"BUSINESS_UNIT";"EC_SALE";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"PRICE_OBJECT";"BUSINESS_UNIT";"EC_SALE";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"PRICE_RATE";"BUSINESS_UNIT";"EC_SALE";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"PROD_STREAM_GROUP";"BUSINESS_UNIT";"EC_REVN";"N";"N";"";"1:N";"ATTRIBUTE";"PARENT_ID";
"BUSINESS_UNIT";"PROPERTY";"BUSINESS_UNIT";"EC_REVN";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"TRANSPORT_SYSTEM";"BUSINESS_UNIT";"EC_TRAN";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"TRANSPORT_ZONE";"BUSINESS_UNIT";"EC_TRAN";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"BUSINESS_UNIT";"TRANSPORT_ZONE_LIST";"BUSINESS_UNIT";"EC_TRAN";"N";"N";"";"1:N";"ATTRIBUTE";"BUSINESS_UNIT_ID";
"CALC_CONTEXT";"CALC_RULE";"CALC_CONTEXT";"EC_PROD";"N";"N";"";"1:N";"ATTRIBUTE";"CALC_CONTEXT_ID";
"CALC_CONTEXT";"CALC_SET";"CALC_CONTEXT";"EC_FRMW";"N";"N";"";"1:N";"COLUMN";"CALC_CONTEXT_ID";
"CALC_CONTEXT";"CALC_SET_ALL";"CALC_CONTEXT";"EC_FRMW";"N";"N";"";"1:N";"COLUMN";"CALC_CONTEXT_ID";
"CALC_CONTEXT";"CALC_SET_INHERITED";"CALC_CONTEXT";"EC_FRMW";"N";"N";"";"1:N";"COLUMN";"CALC_CONTEXT_ID";
"CALC_CONTEXT";"CALCULATION";"CALC_CONTEXT";"EC_FRMW";"N";"N";"";"1:N";"COLUMN";"CALC_CONTEXT_ID";
